SA3_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
12703,6137,3357,1419,560,50455
12801,9387,6090,3497,1755,58680
12802,9543,5686,2357,1170,56021
19797,43,60,25,3,212
19999,1142,722,150,41,7741
20101,7360,5104,2599,977,48845
20102,3070,2153,776,293,14414
20103,2289,1934,768,292,11273
20201,6823,4670,2470,1193,44195
20202,5087,3770,1572,548,25071
20203,1098,724,292,119,5046
20301,1586,953,314,91,9036
20302,13206,8886,4747,2245,90616
20303,7148,5805,2497,916,38076
20401,4961,3918,1691,627,25715
20402,4196,3001,1477,741,21903
20403,6177,4107,1703,652,34200
20501,4061,3070,1330,422,22950
20502,4338,4093,1894,747,21790
20503,5844,5020,2253,862,29498
20504,5747,3797,1952,738,33616
20505,3727,2486,1154,413,20318
20601,4725,2146,936,444,50293
20602,3397,1475,698,347,30617
20603,4915,2386,1005,525,37327
20604,5836,3800,1474,782,90603
20605,7609,4712,1766,712,67794
20606,4292,3405,1803,696,42867
20607,5598,3648,1272,432,58289
20701,15114,10016,4879,2627,97790
20702,6890,5358,3470,1345,46903
20703,7386,4711,3093,1580,55308
20801,9658,6470,3135,1815,53935
20802,11372,6696,3266,1823,83109
20803,8529,5237,3049,1591,60466
20804,3367,2294,1225,582,24500
20901,9740,6606,3172,1459,64676
20902,4513,2462,1610,975,46936
20903,6525,3657,1170,322,34026
20904,10102,5495,2262,657,91071
21001,3812,2791,1597,617,27507
21002,2678,1799,617,203,14878
21003,3320,1791,1512,929,35359
21004,2891,1584,678,253,18233
21005,6603,3447,1436,357,61218
21101,11743,6884,3465,1468,75671
21102,2542,1600,754,298,13534
21103,7821,5254,2797,1232,55239
21104,4188,3136,1808,742,31680
21105,12282,8076,3093,1122,72669
21201,5544,3426,1409,491,42450
21202,8292,4404,2160,847,57935
21203,7660,3842,1621,484,71111
21204,8661,5975,3176,1238,76593
21205,11565,7838,5064,2315,92217
21301,8891,5172,2176,857,73844
21302,5705,3048,1516,718,41188
